timestamp,exchange,symbol,last_price,bid_price,bid_size,ask_price,ask_size
1769171520.0,binance,FUN/USDT:USDT ,89554.8,89546.9,1.051,89547.0,14.676
1769171580.0,binance,FUN/USDT:USDT ,89554.9,89547.0,20.893,89547.1,3.412
1769171640.0,binance,FUN/USDT:USDT ,89554.8,89547.0,18.916,89547.1,5.414
1769171700.0,binance,FUN/USDT:USDT ,89554.8,89547.0,18.768,89547.1,4.285
1769171760.0,binance,FUN/USDT:USDT ,89554.9,89547.0,18.329,89547.1,4.431
1769171820.0,binance,FUN/USDT:USDT ,89554.9,89547.0,18.485,89547.1,4.433
1769171880.0,binance,FUN/USDT:USDT ,89546.9,89547.0,18.533,89547.1,4.331
1769171940.0,binance,FUN/USDT:USDT ,89546.9,89547.0,14.532,89547.1,6.179
1769172000.0,binance,FUN/USDT:USDT ,89546.9,89547.0,14.822,89547.1,5.569
1769172060.0,binance,FUN/USDT:USDT ,89546.9,89547.0,14.892,89547.1,4.924
1769172120.0,binance,FUN/USDT:USDT ,89547.0,89547.0,14.939,89547.1,4.913
